record_id,redcap_survey_identifier,questionrio_sobre_a_percepo_dos_estudantes_de_medi_timestamp,c_informado,instit,codigo,data_inq,idade,genero,estado_civil,tem_filhos,depend,local_nasc,esecund_local,resid_actual,cquem_vive,trab_estuda,ano_acad,tipo_renda,prof_pai,prof_mae,nescola_mae,nescola_pai,parente_saude,psaude_especif,fproximo,fdistante,aproximo,cquem_vivo,colega_curso,vizinhos,docente,padmin,ong_volunt,rsociais,outras_p,ajudar,cont_pessoas,salva_vidas,aj_dcovid19,vontade,dom,import_medico,influencia,med_resp,doent_fam,dif_pessoais,adq_conhec,curiosid,fac_emprego,renum,sem_opcao,sprg_ensino,qual_docentes,qual_sist_apoio,acess_mater,acess_doentes,tut_plataformas___1,tut_plataformas___2,tut_plataformas___3,tut_plataformas___4,tut_plataformas___5,tut_plataformas___6,metod_online___1,metod_online___2,metod_online___3,metod_online___4,metod_online___5,metod_online___6,disp_tarefas,retor_desemp,resp_pront,aulas_online,exame_form,sobrecarga,tip_sobrecarga,tipo_form,loc_trab_pform,outros_locais,salario_min,especializacao,outra_especial,sector,sist_hibr,horar_sem,prog_ensino,metod_ens,model_aval,sist_apoio_func,lugar_estudos,secretaria,computador,software,impressora,auscultadores,cam_web,mat_escrit,internet,mat_curso,outro_mat,pesq_online,cont_digit,plat_e_online,plat_col_online,plat_com_online,soft_mestudo,def_avanc,alegre,esperanc,orgulhoso,frustrado,zangado,ansioso,enverg,aliviado,sem_espera,aborrecido,saude_fis,saide_ment,quest_est,educ_fut,fin_pess,fam_rel,car_profiss,crise_pandf,lazer,custo_estudos___1,custo_estudos___2,custo_estudos___3,custo_estudos___4,custo_estudos___5,trab_covid19___1,trab_covid19___2,trab_covid19___3,trab_covid19___4,trab_covid19___5,trab_covid_rem___1,trab_covid_rem___2,trab_covid_rem___3,trab_covid_rem___4,trab_covid_rem___5,trab_covid_rem___6,propinas,questionrio_sobre_a_percepo_dos_estudantes_de_medi_complete
1,,4/24/2024 14:39,,2,20201079,4/24/2024,22,1,1,2,2,4,11,1,1,2,3,5,Desempregado,Professora ,4,4,1,3,3,2,4,5,4,3,3,1,1,5,2,4,3,4,3,5,4,3,2,3,4,2,4,2,2,3,2,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,4,3,3,4,5,1,1,4,3,,45000,6,,3,5,4,4,3,5,4,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,3,3,3,4,3,5,3,2,3,4,3,4,4,5,4,3,5,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2
2,,[not completed],,2,20200655,4/24/2024,21,1,1,2,2,10,11,1,5,2,3,5,Docente universitário,Docente do secundário ,4,6,1,3,5,1,5,1,5,1,5,2,5,5,5,5,5,5,3,2,5,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,4,2,4,5,5,1,1,3,2,,110.000,1,,3,2,6,6,4,4,4,5,5,5,5,2,5,5,5,3,5,,5,5,3,5,5,5,5,2,5,3,3,3,3,3,3,1,3,4,4,5,5,5,4,5,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0
3,,4/24/2024 15:45,,2,20200543,4/24/2024,24,2,1,2,1,10,10,1,1,1,3,2,estivador,vendedeira,2,1,1,3,2,4,4,5,3,2,3,2,2,5,4,5,5,5,5,5,5,5,1,5,1,1,5,5,1,1,1,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,4,5,5,5,5,2,,3,5,,50000,3,,3,5,5,4,4,4,4,4,3,4,4,1,4,1,4,3,4,4,5,5,5,5,5,5,5,1,1,1,4,4,1,1,1,1,4,3,3,4,4,4,4,4,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
4,,4/24/2024 17:36,,2,20200783,4/24/2024,23,1,1,2,2,10,10,1,1,1,3,4,Advogado ,Advogada ,3,4,2,,5,4,4,5,1,1,1,1,1,5,3,5,2,5,4,5,5,4,5,4,5,3,3,4,1,4,1,1,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,4,3,3,3,3,2,,4,5,,45000,3,,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,3,4,2,3,2,4,2,2,3,5,5,5,5,5,5,5,5,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
5,,[not completed],,2,20190204,4/25/2024,21,1,1,2,2,10,10,2,1,2,3,5,Faleceu ,Guarda fronteira ,4,5,2,,5,3,5,1,5,1,2,1,1,1,2,4,2,4,3,5,1,1,1,1,3,1,5,1,1,1,1,2,2,2,1,2,0,0,1,0,0,0,0,0,0,0,1,0,3,1,3,5,4,2,,4,3,,50000,7,,3,1,1,1,1,1,1,,,3,3,1,4,3,5,3,4,2,5,5,5,5,5,5,,2,2,2,5,2,5,1,1,5,2,5,5,5,5,5,3,5,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0
6,,4/26/2024 4:52,,2,20180290,4/26/2024,22,1,1,2,2,11,11,2,1,2,3,1,Economista,Ecconimista,4,4,1,3,3,1,3,5,1,1,1,1,1,3,1,4,3,3,2,5,3,1,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,4,4,4,3,5,1,1,3,5,,,1,,3,5,5,5,4,4,3,5,5,5,5,1,5,5,5,3,4,3,5,5,3,5,5,5,1,3,3,3,3,3,3,3,1,1,2,5,5,5,5,5,3,3,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
7,,[not completed],,2,20190501,4/28/2024,22,1,1,2,2,10,11,3,1,2,6,5,Motorista ,Gestora ,5,3,1,3,1,2,1,,1,1,1,1,1,1,1,,,5,,,,,,,,,,,,,,1,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,4,,,,,,,,3,,,3,,3,4,4,4,4,4,4,5,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
8,,5/22/2024 14:06,1,2,20211031,5/22/2024,21,1,2,2,2,11,11,1,5,2,4,2,Gerente,Doméstica,3,3,2,,5,2,2,5,5,3,2,1,1,4,1,5,5,5,5,5,5,5,3,3,2,2,5,3,2,2,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,4,4,4,4,4,2,,3,1,,25.000,2,,3,4,4,4,4,4,4,4,2,3,4,5,5,5,5,5,3,1,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,5,4,4,2,4,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
9,,5/22/2024 14:14,1,2,20200461,5/22/2024,22,1,1,2,2,11,11,1,1,2,4,1,Comerciante ,Homemaker ,3,4,1,3,5,3,4,3,4,2,1,1,1,1,1,5,3,5,4,4,5,3,3,3,2,3,4,3,2,2,1,2,2,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,3,3,4,3,3,1,7,3,5,,65000,2,,3,3,3,3,3,3,3,4,1,4,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,4,3,1,4,3,3,2,2,2,2,5,5,3,5,4,5,4,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2
10,,[not completed],1,2,20210887,5/22/2024,21,1,1,2,1,11,11,3,2,2,4,3,Contabilista ,Contabilista ,4,4,2,,5,2,1,5,3,4,3,4,4,4,4,4,3,5,2,5,3,3,1,2,3,2,4,3,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,3,4,4,4,1,6,1,4,,,2,,3,3,6,6,6,4,4,3,4,5,5,5,1,1,5,3,1,1,,,,,,,,3,4,3,3,3,5,3,2,3,3,1,1,4,1,2,2,3,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
11,,5/22/2024 14:46,1,2,20210554,5/22/2024,22,1,1,2,2,11,11,2,1,2,4,5,Arquiteto,Administradora ,4,5,1,3,1,1,1,2,3,2,3,3,2,5,1,5,5,5,3,2,4,4,2,2,2,2,3,1,2,2,1,2,1,2,2,1,0,0,0,1,1,0,0,0,0,1,0,0,4,1,3,4,4,2,,4,5,,60000,2,,3,4,4,3,4,4,3,4,5,5,5,2,3,1,5,2,4,5,5,5,3,4,5,5,3,2,3,2,4,2,2,2,3,2,4,2,1,3,4,3,2,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2
12,,5/22/2024 14:49,1,2,20210170,5/22/2024,21,1,1,2,2,11,11,1,1,2,4,1,Juiz,Juiza,5,6,2,,3,1,3,3,3,1,3,1,1,3,1,5,3,5,4,5,3,3,3,3,3,3,5,3,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,5,5,5,4,4,2,,1,3,,70000,5,,3,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,3,3,4,5,3,5,5,5,5,3,3,3,4,2,2,2,2,2,2,3,4,4,2,4,2,4,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
13,,5/22/2024 14:50,1,2,20200655,5/22/2024,21,1,1,2,2,10,11,1,5,2,4,2,Docente,Docente,4,6,1,3,5,1,5,5,5,1,4,1,1,5,1,5,5,5,3,1,3,3,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,4,2,5,5,5,1,1,3,2,,100.000,1,,3,5,5,5,4,4,1,5,5,5,5,3,5,5,5,3,5,1,5,5,5,5,5,5,5,4,3,3,2,2,5,2,2,2,4,2,2,5,5,5,4,5,1,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2
14,,5/22/2024 15:07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
